Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
8,-0.5143,0.301,-0.1979,-0.1352,-0.0392,-0.3325,0
8,-0.5734,0.2949,-0.1928,-0.0698,0.1024,-0.4307,0
8,-0.6642,0.3265,-0.1673,0.0282,0.2147,-0.5047,0
8,-0.7663,0.3796,-0.0928,0.0992,0.2802,-0.5494,0
8,-0.952,0.4214,-0.0643,0.0948,0.2234,-0.5538,0
8,-0.5939,0.403,-0.1061,-0.073,-0.2703,-0.5221,0
8,-0.7,0.4408,-0.1132,-0.0282,-0.4109,-0.4132,0
8,-0.6837,0.5081,-0.05,-0.0261,-0.2768,-0.5102,0
8,-0.8663,0.5306,-0.1918,-0.037,-0.1852,-0.6213,0
8,-0.7857,0.7979,-0.0459,-0.037,-0.1852,-0.6213,0
8,-0.7857,0.7979,-0.0459,-0.0534,-0.3073,-0.653,0
8,-1.1265,1.0459,-0.0704,-0.0087,-0.2703,-0.702,0
8,-1.4173,1.3377,0.0438,0.2562,-0.3489,-0.7489,0
8,-1.8928,1.2092,0.0928,0.5767,-0.424,-0.8775,0
8,-1.7581,0.8296,0.1132,0.4546,-0.3597,-0.6869,0
8,-1.5714,0.301,-0.0469,-0.3674,-0.1581,0.1024,0
8,-1.3265,0.3949,-0.1255,-0.9626,0.0043,0.9866,0
8,-1.2612,0.5031,-0.0652,-0.8558,0.037,1.5143,0
8,-1.1694,0.6775,-0.2388,-0.3706,-0.1919,1.5242,0
8,-1.0245,0.6918,-0.1489,-0.3706,-0.1919,1.5242,0
8,-0.9112,1.0684,-0.2224,0.2518,-0.5145,1.1633,0
8,-0.9112,1.0684,-0.2224,0.8111,-0.7773,0.6955,0
8,-0.9163,1.1255,-0.0449,0.8842,-0.5353,0.4164,0
8,-0.8296,0.8387,0.0214,0.0577,-0.4109,0.4,0
8,-0.9888,0.3448,-0.3132,-0.8624,-0.0915,0.2049,0
8,-1.0388,0.3112,-0.1816,-0.7708,0.0708,0.0818,0
8,-0.9387,0.3041,-0.1357,-0.2409,-0.1352,0.0784,0
8,-0.8439,0.3357,-0.0724,0.2039,-0.3761,0.11,0
8,-0.7367,0.6622,0.0571,0.507,-0.471,0.1123,0
8,-0.7142,0.5745,0.0693,0.507,-0.471,0.1123,0
8,-0.7765,0.4377,-0.0112,0.3575,-0.2911,0.0381,0
8,-0.7765,0.4377,-0.0112,-0.1035,-0.0818,-0.0053,0
8,-0.7888,0.3653,-0.1,-0.2453,-0.0185,-0.0381,0
8,-0.6765,0.4785,0.0102,0.2365,-0.1613,-0.0686,0
8,-0.6449,0.5969,0.0663,0.2365,-0.1613,-0.0686,0
8,-0.65,0.4377,0.0449,0.0925,-0.0534,-0.0992,0
8,-0.5857,0.3357,0.0306,-0.1678,0.0435,-0.0043,0
8,-0.6581,0.2643,0.0173,-0.2573,0.074,0.0534,0
8,-0.6102,0.2714,0.0469,0.1547,0.0349,0.037,0
8,-0.5122,0.3918,0.1275,0.1547,0.0349,0.037,0
8,-0.4755,0.353,0.0847,0.1547,0.0349,0.037,0
8,-0.4755,0.353,0.0847,0.1329,0.1242,0.0217,0
8,-0.5173,0.3152,0.0347,0.1329,0.1242,0.0217,0
8,-0.4959,0.3173,-0.004,0.2245,0.1635,-0.0131,0
8,-0.4938,0.3582,0.001,0.2627,0.1766,-0.036,0
8,-0.4806,0.3765,-0.0193,0.2627,0.1766,-0.036,0
8,-0.5183,0.3683,-0.0714,0.2333,0.1984,-0.0698,0
8,-0.5336,0.3479,-0.1071,0.1766,0.2159,-0.1547,0
8,-0.55,0.3673,-0.1132,0.2115,0.1972,-0.1766,0
8,-0.5745,0.401,-0.1091,0.2115,0.1972,-0.1766,0
8,-0.5745,0.401,-0.1091,0.2027,0.1907,-0.2213,0
8,-0.6082,0.4071,-0.1173,0.1329,0.2039,-0.2834,0
8,-0.6275,0.4051,-0.1153,0.0774,0.2224,-0.3041,0
8,-0.6337,0.401,-0.1173,0.025,0.2474,-0.3151,0
8,-0.6857,0.452,-0.1449,0.0228,0.2617,-0.3172,0
8,-0.7438,0.4949,-0.1744,0.0763,0.2376,-0.3445,0
8,-0.8347,0.5357,-0.2163,0.1515,0.2039,-0.3619,0
8,-0.9847,0.6459,-0.3143,0.1711,0.1776,-0.3532,0
8,-1.0602,0.7367,-0.3683,0.1646,0.1744,-0.3314,0
8,-1.1622,0.8398,-0.4194,0.1646,0.1744,-0.3314,0
8,-1.1622,0.8398,-0.4194,0.1896,0.1623,-0.3456,0
8,-1.3132,0.9316,-0.4745,0.2573,0.1384,-0.3794,0
8,-1.6163,1.0245,-0.5173,0.3193,0.1362,-0.3107,0
8,-1.4806,0.9673,-0.4112,0.1896,0.1886,-0.0784,0
8,-1.2693,0.8224,-0.353,-0.1449,0.4187,0.2245,0
8,-1.1285,0.5969,-0.502,-0.3248,0.6062,0.5516,0
8,-1.1153,0.6816,-0.5132,-0.2016,0.6018,0.7861,0
8,-1.0632,0.8173,-0.4897,-0.0925,0.5265,0.8046,0
8,-1.0061,0.8979,-0.4224,-0.2398,0.5112,0.6596,0
8,-1.002,0.6694,-0.4122,-0.2398,0.5112,0.6596,0
8,-1.0051,0.5551,-0.4183,-0.4698,0.5179,0.4982,0
8,-1.0051,0.5551,-0.4183,-0.4448,0.4252,0.4382,0
8,-1.0143,0.5551,-0.3714,-0.2573,0.2911,0.4055,0
8,-1.0061,0.6275,-0.2571,-0.2256,0.2005,0.3271,0
8,-1.0092,0.5551,-0.2663,-0.3357,0.1732,0.2464,0
8,-0.9949,0.4796,-0.2438,-0.339,0.1221,0.2495,0
8,-0.954,0.4561,-0.1714,-0.2398,0.0566,0.2605,0
8,-0.9183,0.4581,-0.1857,-0.2333,0.049,0.2027,0
8,-0.8602,0.4285,-0.1979,-0.2071,0.0326,0.1951,0
8,-0.799,0.4765,-0.2092,-0.11,-0.0076,0.2245,0
9,-0.7612,0.5132,-0.1979,-0.074,-0.0087,0.2376,0
9,-0.7551,0.5163,-0.2133,-0.074,-0.0087,0.2376,0
9,-0.7551,0.5163,-0.2133,-0.1035,0.012,0.2495,0
9,-0.699,0.4694,-0.2663,-0.1013,0.0174,0.267,0
9,-0.6714,0.4847,-0.2693,-0.0545,0.0053,0.2954,0
9,-0.6285,0.4969,-0.2571,-0.0555,0.0043,0.314,0
9,-0.5673,0.4857,-0.2551,-0.1373,-0.0108,0.3019,0
9,-0.5398,0.4326,-0.2663,-0.218,-0.0566,0.2649,0
9,-0.4908,0.3959,-0.2602,-0.2594,-0.1308,0.2474,0
9,-0.4642,0.3673,-0.2581,-0.2693,-0.1951,0.2136,0
9,-0.4142,0.3132,-0.254,-0.255,-0.2485,0.1646,0
9,-0.402,0.3204,-0.2388,-0.255,-0.2485,0.1646,0
9,-0.402,0.3204,-0.2388,-0.2627,-0.3041,0.1013,0
9,-0.4081,0.3112,-0.251,-0.2747,-0.3237,0.0131,0
9,-0.3908,0.2938,-0.2306,-0.2464,-0.3325,-0.074,0
9,-0.4071,0.2979,-0.2153,-0.157,-0.3052,-0.182,0
9,-0.4051,0.3071,-0.1816,-0.0698,-0.2213,-0.2987,0
9,-0.454,0.2979,-0.1489,-0.036,-0.073,-0.4187,0
9,-0.4908,0.2693,-0.152,0.0021,0.0839,-0.5156,0
9,-0.5214,0.2551,-0.1418,0.0925,0.2049,-0.5734,0
9,-0.5643,0.2622,-0.1204,0.1875,0.2659,-0.5984,0
9,-0.8632,0.2857,-0.1928,0.1875,0.2659,-0.5984,0
9,-0.3979,0.2571,-0.0857,0.1047,-0.0425,-0.6051,0
9,-0.3979,0.2571,-0.0857,0.0631,-0.4513,-0.4992,0
9,-0.5867,0.3459,-0.1602,0.2213,-0.2932,-0.5309,0
9,-0.7183,0.55,0.0571,0.2093,-0.2071,-0.6442,0
9,-0.6724,0.5112,-0.1602,0.0915,-0.2758,-0.7392,0
9,-0.602,0.5979,-0.0234,0.0534,-0.2125,-0.8067,0
9,-0.7877,0.9428,-0.0663,0.181,-0.2617,-0.8668,0
9,-0.8296,1.0245,-0.0693,0.4481,-0.3575,-1.0923,0
9,-1.3714,1.204,0.15,0.8067,-0.3063,-1.028,0
9,1.9194,1.2898,-0.0061,0.8067,-0.3063,-1.028,0
9,-1.8541,0.5969,0.0948,0.4307,-0.2539,-0.4372,0
9,-1.8541,0.5969,0.0948,-0.3783,-0.0228,0.2998,0
9,-1.5847,0.3408,0.053,-0.6911,0.0751,0.9038,0
9,-1.299,0.3816,-0.0143,-0.5124,0.012,1.2483,0
9,-1.1163,0.4428,-0.1683,-0.0534,-0.1875,1.3094,0
9,-0.9806,0.5,-0.1908,0.4643,-0.4895,1.1982,0
9,-0.8653,0.5398,-0.0826,0.8471,-0.6421,0.9845,0
